Node1	Sign	Node2
Perturbation	1	DUSP8
Perturbation	1	DYNLL2
Perturbation	1	DYRK1A
Perturbation	1	DYRK1B
Perturbation	1	DYRK2
Perturbation	1	E2F6
Perturbation	1	E4F1
Perturbation	1	ECE1
Perturbation	1	EDA
Perturbation	1	EDN2
Perturbation	1	EDN3
Perturbation	1	EEF1B2
Perturbation	1	EFNA1
Perturbation	1	EFNA2
Perturbation	1	EFNA3
Perturbation	1	EFNA4
Perturbation	1	EFNA5
Perturbation	1	EFNB1
Perturbation	1	EFNB3
Perturbation	1	EGLN2
Perturbation	1	EHMT1
Perturbation	1	EIF2AK1
Perturbation	1	EIF2AK4
Perturbation	1	EIF4EBP2
Perturbation	1	EIF4EBP3
Perturbation	1	EMSY
Perturbation	1	EPGN
Perturbation	1	ERC1
Perturbation	1	ERCC8
Perturbation	1	EREG
Perturbation	1	ETFB
Perturbation	1	EYA3
Perturbation	1	F9
Perturbation	1	FAAP24
Perturbation	1	FBXW11
Perturbation	1	FCER1G
Perturbation	1	FCGR3A
Perturbation	1	FER
Perturbation	1	FERMT2
Perturbation	1	FES
Perturbation	1	FGD1
Perturbation	1	FGF1
Perturbation	1	FGF10
Perturbation	1	FGF14
Perturbation	1	FGF17
Perturbation	1	FGF18
Perturbation	1	FGF19
Perturbation	1	FGF20
Perturbation	1	FGF21
Perturbation	1	FGF22
Perturbation	1	FGF23
Perturbation	1	FGF3
Perturbation	1	FGF4
Perturbation	1	FGF5
Perturbation	1	FGF6
Perturbation	1	FGF7
Perturbation	1	FGF8
Perturbation	1	FGF9
Perturbation	1	FHL1
Perturbation	1	FLT3LG
Perturbation	1	FOXA1
Perturbation	1	FOXH1
Perturbation	1	FRK
Perturbation	1	FSHB
Perturbation	1	FST
Perturbation	1	FYCO1
Perturbation	1	GADD45B
Perturbation	1	GAL
Perturbation	1	GALP
Perturbation	1	GAS1
Perturbation	1	GAS6
Perturbation	1	GAST
Perturbation	1	GATA2
Perturbation	1	GCG
Perturbation	1	GCKR
Perturbation	1	GDF11
Perturbation	1	GDF15
Perturbation	1	GDF2
Perturbation	1	GDF5
Perturbation	1	GDF6
Perturbation	1	GDF9
Perturbation	1	GDNF
Perturbation	1	GH1
Perturbation	1	GH2
Perturbation	1	GHRH
Perturbation	1	GHRL
Perturbation	1	GIP
Perturbation	1	GNGT1
Perturbation	1	GNRH1
Perturbation	1	GNRH2
Perturbation	1	GOPC
Perturbation	1	GPI
Perturbation	1	GPSM3
Perturbation	1	GRK1
Perturbation	1	GRK3
Perturbation	1	GRK5
Perturbation	1	GRK6
Perturbation	1	GRP
Perturbation	1	GSTP1
Perturbation	1	GTF2A2
Perturbation	1	GTF2F2
Perturbation	1	GTF2H3
Perturbation	1	GUCA2A
Perturbation	1	GZMA
Perturbation	1	HACE1
Perturbation	1	HAT1
Perturbation	1	HBEGF
Perturbation	1	HCFC1
Perturbation	1	HCRT
Perturbation	1	HHAT
Perturbation	1	HIF1AN
Perturbation	1	HIPK1
Perturbation	1	HIPK3
Perturbation	1	HJURP
Perturbation	1	HLA_A
Perturbation	1	HLA_B
Perturbation	1	HLA_C
Perturbation	1	HLA_F
Perturbation	1	HLA_G
Perturbation	1	HOXA9
Perturbation	1	HP
Perturbation	1	HRK
Perturbation	1	HSPE1
Perturbation	1	HTR1A
Perturbation	1	HTR2A
Perturbation	1	HUWE1
Perturbation	1	ICAM2
Perturbation	1	ICAM3
Perturbation	1	ICAM4
Perturbation	1	ICAM5
Perturbation	1	ICOSLG
Perturbation	1	ID3
Perturbation	1	IDE
Perturbation	1	IFNA1
Perturbation	1	IFNA2
Perturbation	1	IFNB1
Perturbation	1	IFNG
Perturbation	1	IFNK
Perturbation	1	IFNL1
Perturbation	1	IFNL2
Perturbation	1	IFNL3
Perturbation	1	IFNW1
Perturbation	1	IGBP1
Perturbation	1	IL10
Perturbation	1	IL11
Perturbation	1	IL12A
Perturbation	1	IL13
Perturbation	1	IL15
Perturbation	1	IL16
Perturbation	1	IL17B
Perturbation	1	IL17F
Perturbation	1	IL18BP
Perturbation	1	IL19
Perturbation	1	IL1A
Perturbation	1	IL1RN
Perturbation	1	IL20
Perturbation	1	IL21
Perturbation	1	IL23A
Perturbation	1	IL24
Perturbation	1	IL25
Perturbation	1	IL26
Perturbation	1	IL27
Perturbation	1	IL3
Perturbation	1	IL31
Perturbation	1	IL34
Perturbation	1	IL36RN
Perturbation	1	IL37
Perturbation	1	IL4
Perturbation	1	IL5
Perturbation	1	IL6
Perturbation	1	IL7
Perturbation	1	IL9
Perturbation	1	ING1
Perturbation	1	INHA
Perturbation	1	INHBB
Perturbation	1	INSIG2
Perturbation	1	INSL3
Perturbation	1	INSL5
Perturbation	1	ITGAL_ITGB2
Perturbation	1	ITGB1BP1
Perturbation	1	ITGB8
Perturbation	1	ITSN1
Perturbation	1	JAG2
Perturbation	1	KAT2A
Perturbation	1	KCNIP3
Perturbation	1	KDM5B
Perturbation	1	KISS1
Perturbation	1	KITLG
Perturbation	1	KLF11
Perturbation	1	KLKB1
Perturbation	1	KNL1
Perturbation	1	L1CAM
Perturbation	1	LAMA1
Perturbation	1	LAMA2
Perturbation	1	LAMA3
Perturbation	1	LAMA5
Perturbation	1	LAMB1
Perturbation	1	LAMB2
Perturbation	1	LAMB3
Perturbation	1	LAMC1
Perturbation	1	LAMC2
Perturbation	1	LAMTOR3
Perturbation	1	LEP
Perturbation	1	LHB
Perturbation	1	LIF
Perturbation	1	LIG3
Perturbation	1	LMO1
Perturbation	1	LMO2
Perturbation	1	LNX1
Perturbation	1	LPAR1
Perturbation	1	LPAR2
Perturbation	1	LPAR3
Perturbation	1	LPAR4
Perturbation	1	LPAR5
Perturbation	1	LRPAP1
Perturbation	1	LRRC4B
Perturbation	1	LTA
Perturbation	1	LTB
Perturbation	1	LTF
Perturbation	1	MAD2L1BP
Perturbation	1	MADCAM1
Perturbation	1	MAGEA3
Perturbation	1	MAGEC2
Perturbation	1	MAGI1
Perturbation	1	MAGI2
Perturbation	1	MAML3
Perturbation	1	MAP3K2
Perturbation	1	MAP3K20
Perturbation	1	MAP4K2
Perturbation	1	MAP4K3
Perturbation	1	MAP4K4
Perturbation	1	MAP4K5
Perturbation	1	MAPK15
Perturbation	1	MAPK8IP2
Perturbation	1	MAPKAP1
Perturbation	1	MATK
Perturbation	1	MBL2
Perturbation	1	MCF2
Perturbation	1	MCF2L
Perturbation	1	MCM3AP
Perturbation	1	MCPH1
Perturbation	1	MDK
Perturbation	1	MECOM
Perturbation	1	MED14
Perturbation	1	MEFV
Perturbation	1	MELK
Perturbation	1	MFAP2
Perturbation	1	MFF
Perturbation	1	MFNG
Perturbation	1	MIB1
Perturbation	1	MICA
Perturbation	1	MICB
Perturbation	1	MLH1
Perturbation	1	MLN
Perturbation	1	MMP14
Perturbation	1	MMP3
Perturbation	1	MNAT1
Perturbation	1	MRTFA
Perturbation	1	MRTFB
Perturbation	1	MSH2
Perturbation	1	MST1
Perturbation	1	MTA1
Perturbation	1	MTCP1
Perturbation	1	MTMR4
Perturbation	1	MTNR1A
Perturbation	1	MTSS1
Perturbation	1	MTTP
Perturbation	1	MYCBP2
Perturbation	1	MYOCD
Perturbation	1	MYT1
Perturbation	1	NAA10
Perturbation	1	NCL
Perturbation	1	NCOA4
Perturbation	1	NCR3LG1
Perturbation	1	NDFIP1
Perturbation	1	NDFIP2
Perturbation	1	NDN
Perturbation	1	NDP
Perturbation	1	NECTIN2
Perturbation	1	NECTIN3
Perturbation	1	NEDD8
Perturbation	1	NEK1
Perturbation	1	NEK9
Perturbation	1	NF1
Perturbation	1	NFKBIE
Perturbation	1	NGLY1
Perturbation	1	NHEJ1
Perturbation	1	NHLRC1
Perturbation	1	NKD1
Perturbation	1	NLGN2
Perturbation	1	NLGN3
Perturbation	1	NMB
Perturbation	1	NMI
Perturbation	1	NMS
Perturbation	1	NMU
Perturbation	1	NOD1
Perturbation	1	NODAL
Perturbation	1	NOG
Perturbation	1	NPAT
Perturbation	1	NPB
Perturbation	1	NPFF
Perturbation	1	NPPA
Perturbation	1	NPPB
Perturbation	1	NPPC
Perturbation	1	NPS
Perturbation	1	NPVF
Perturbation	1	NPW
Perturbation	1	NPY
Perturbation	1	NR1D1
Perturbation	1	NR2F1
Perturbation	1	NRBF2
Perturbation	1	NRG1
Perturbation	1	NRG2
Perturbation	1	NRG3
Perturbation	1	NRG4
Perturbation	1	NRTN
Perturbation	1	NSD1
Perturbation	1	NSMCE3
Perturbation	1	NTF3
Perturbation	1	NTF4
Perturbation	1	NTN1
Perturbation	1	NTN3
Perturbation	1	NTNG2
Perturbation	1	NTS
Perturbation	1	NUMBL
Perturbation	1	NUP214
Perturbation	1	NUP50
Perturbation	1	NUTF2
Perturbation	1	OS9
Perturbation	1	OSM
Perturbation	1	OSTN
Perturbation	1	OTUB1
Perturbation	1	OXT
Perturbation	1	PAFAH1B1
Perturbation	1	PAIP2
Perturbation	1	PAK6
Perturbation	1	PAN3
Perturbation	1	PARD6G
Perturbation	1	PCBD1
Perturbation	1	PCOLCE
Perturbation	1	PCSK1
Perturbation	1	PCSK2
Perturbation	1	PCSK9
Perturbation	1	PDCD1LG2
Perturbation	1	PDCD6IP
Perturbation	1	PDGFA
Perturbation	1	PDGFB
Perturbation	1	PDGFC
Perturbation	1	PDGFD
Perturbation	1	PDIA3
Perturbation	1	PDK1
Perturbation	1	PDK2
Perturbation	1	PDK3
Perturbation	1	PDK4
Perturbation	1	PDP1
Perturbation	1	PDYN
Perturbation	1	PELI2
Perturbation	1	PENK
Perturbation	1	PEX10
Perturbation	1	PEX14
Perturbation	1	PEX3
Perturbation	1	PEX6
Perturbation	1	PF4
Perturbation	1	PGF
Perturbation	1	PHB
Perturbation	1	PHKG1
Perturbation	1	PHKG2
Perturbation	1	PHLPP2
Perturbation	1	PIAS1
Perturbation	1	PIAS2
Perturbation	1	PIAS3
Perturbation	1	PIAS4
Perturbation	1	PICK1
Perturbation	1	PIM1
Perturbation	1	PIM2
Perturbation	1	PIM3
Perturbation	1	PINK1
Perturbation	1	PKIA
Perturbation	1	PKNOX1
Perturbation	1	PKP2
Perturbation	1	PLAT
Perturbation	1	PLK2
Perturbation	1	PMCH
Perturbation	1	PNOC
Perturbation	1	POGZ
Perturbation	1	POLD1
Perturbation	1	POMC
Perturbation	1	POU2AF1
Perturbation	1	PPBP
Perturbation	1	PPFIA1
Perturbation	1	PPID
Perturbation	1	PPM1A
Perturbation	1	PPM1D
Perturbation	1	PPM1F
Perturbation	1	PPP1CB
Perturbation	1	PPP1R13L
Perturbation	1	PPP1R15A
Perturbation	1	PPP2CB
Perturbation	1	PPP2R1A
Perturbation	1	PPP2R1B
Perturbation	1	PPP2R2A
Perturbation	1	PPP2R5B
Perturbation	1	PPP2R5C
Perturbation	1	PPP4R3A
Perturbation	1	PPY
Perturbation	1	PREX2
Perturbation	1	PRKACB
Perturbation	1	PRKACG
Perturbation	1	PRKCG
Perturbation	1	PRKCH
Perturbation	1	PRKG1
Perturbation	1	PRKG2
Perturbation	1	PRKRA
Perturbation	1	PRL
Perturbation	1	PRLH
Perturbation	1	PRNP
Perturbation	1	PROK1
Perturbation	1	PROK2
Perturbation	1	PROS1
Perturbation	1	PSAP
Perturbation	1	PSMC3
Perturbation	1	PSPN
Perturbation	1	PTAFR
Perturbation	1	PTGIR
Perturbation	1	PTH
Perturbation	1	PTH2
Perturbation	1	PTHLH
Perturbation	1	PTK6
Perturbation	1	PTMA
Perturbation	1	PTPA
Perturbation	1	PTPN13
Perturbation	1	PTPN22
Perturbation	1	PTPRE
Perturbation	1	PTPRJ
Perturbation	1	PTPRT
Perturbation	1	PTPRU
Perturbation	1	PTX3
Perturbation	1	PUF60
Perturbation	1	PVR
Perturbation	1	PYY
Perturbation	1	QRFP
Perturbation	1	RAB1A
Perturbation	1	RAB3IP
Perturbation	1	RAB4A
Perturbation	1	RAB5C
Perturbation	1	RABEP1
Perturbation	1	RAC2
Perturbation	1	RAC3
Perturbation	1	RAD18
Perturbation	1	RAD51AP1
Perturbation	1	RAE1
Perturbation	1	RAET1E
Perturbation	1	RAET1G
Perturbation	1	RAET1L
Perturbation	1	RALB
Perturbation	1	RANBP1
Perturbation	1	RANBP2
Perturbation	1	RAP1GDS1
Perturbation	1	RAPGEF5
Perturbation	1	RARRES2
Perturbation	1	RASA4
Perturbation	1	RCOR1
Perturbation	1	RGS19
Perturbation	1	RGS4
Perturbation	1	RHOG
Perturbation	1	RHOU
Perturbation	1	RIMS1
Perturbation	1	RLN1
Perturbation	1	RLN2
Perturbation	1	RLN3
Perturbation	1	RNF135
Perturbation	1	RNF14
Perturbation	1	RNF146
Perturbation	1	RNF168
Perturbation	1	RNF4
Perturbation	1	RORC
Perturbation	1	RPGRIP1
Perturbation	1	RPH3A
Perturbation	1	RPL11
Perturbation	1	RPS19
Perturbation	1	RPS19BP1
Perturbation	1	RRAGC
Perturbation	1	RRAS2
Perturbation	1	RSF1
Perturbation	1	RSPO1
Perturbation	1	RSPO2
Perturbation	1	RSPO3
Perturbation	1	RSPO4
Perturbation	1	RTN4
Perturbation	1	RUBCN
Perturbation	1	S100A10
Perturbation	1	S100A9
Perturbation	1	S1PR2
Perturbation	1	SAA1
Perturbation	1	SCT
Perturbation	1	SEM1
Perturbation	1	SEMA3A
Perturbation	1	SEMA3B
Perturbation	1	SEMA3C
Perturbation	1	SEMA3E
Perturbation	1	SEMA3F
Perturbation	1	SEMA5A
Perturbation	1	SEMA6D
Perturbation	1	SEMA7A
Perturbation	1	SEPTIN12
Perturbation	1	SEPTIN4
Perturbation	1	SERPINA1
Perturbation	1	SERPINB9
Perturbation	1	SERPINC1
Perturbation	1	SERPINF2
Perturbation	1	SERTAD1
Perturbation	1	SETD7
Perturbation	1	SETDB1
Perturbation	1	SFPQ
Perturbation	1	SFRP1
Perturbation	1	SH3GLB1
Perturbation	1	SHOC2
Perturbation	1	SHPRH
Perturbation	1	SIK2
Perturbation	1	SIL1
Perturbation	1	SIM2
Perturbation	1	SIX1
Perturbation	1	SLIT1
Perturbation	1	SLIT2
Perturbation	1	SLX4
Perturbation	1	SMAD9
Perturbation	1	SMARCB1
Perturbation	1	SMG1
Perturbation	1	SMYD2
Perturbation	1	SOCS1
Perturbation	1	SOCS2
Perturbation	1	SOCS6
Perturbation	1	SORBS1
Perturbation	1	SOST
Perturbation	1	SP3
Perturbation	1	SPAG9
Perturbation	1	SPATA13
Perturbation	1	SPDYA
Perturbation	1	SPOP
Perturbation	1	SPP1
Perturbation	1	SPRY1
Perturbation	1	SPRY4
Perturbation	1	SPX
Perturbation	1	SRPK1
Perturbation	1	SRPK2
Perturbation	1	SRSF7
Perturbation	1	SST
Perturbation	1	STK24
Perturbation	1	STRN
Perturbation	1	STUB1
Perturbation	1	STXBP4
Perturbation	1	STYX
Perturbation	1	SUN2
Perturbation	1	SUV39H1
Perturbation	1	SYT1
Perturbation	1	TAC1
Perturbation	1	TAC3
Perturbation	1	TAC4
Perturbation	1	TADA3
Perturbation	1	TAF7
Perturbation	1	TAOK2
Perturbation	1	TAX1BP1
Perturbation	1	TBL1X
Perturbation	1	TCL1A
Perturbation	1	TESK2
Perturbation	1	TFDP2
Perturbation	1	TGFA
Perturbation	1	TGIF1
Perturbation	1	TGM2
Perturbation	1	THEM4
Perturbation	1	THPO
Perturbation	1	TIMP2
Perturbation	1	TIMP3
Perturbation	1	TLE5
Perturbation	1	TLK2
Perturbation	1	TLR3
Perturbation	1	TLR5
Perturbation	1	TLR7
Perturbation	1	TLR9
Perturbation	1	TNC
Perturbation	1	TNFSF12
Perturbation	1	TNFSF13
Perturbation	1	TNFSF14
Perturbation	1	TNFSF15
Perturbation	1	TNFSF18
Perturbation	1	TNFSF4
Perturbation	1	TNFSF8
Perturbation	1	TNFSF9
Perturbation	1	TNIP2
Perturbation	1	TNKS2
Perturbation	1	TNPO1
Perturbation	1	TOLLIP
Perturbation	1	TP53BP2
Perturbation	1	TP53RK
Perturbation	1	TRAF3IP2
Perturbation	1	TRH
Perturbation	1	TRIM25
Perturbation	1	TRIM33
Perturbation	1	TRPM6
Perturbation	1	TRRAP
Perturbation	1	TSG101
Perturbation	1	TSHB
Perturbation	1	TSLP
Perturbation	1	TTBK1
Perturbation	1	TXK
Perturbation	1	UBE2D3
Perturbation	1	UBE2T
Perturbation	1	UBQLN1
Perturbation	1	UBXN8
Perturbation	1	UCHL1
Perturbation	1	UCN
Perturbation	1	UCN2
Perturbation	1	UCN3
Perturbation	1	UHMK1
Perturbation	1	UHRF1
Perturbation	1	UIMC1
Perturbation	1	ULBP1
Perturbation	1	ULBP2
Perturbation	1	ULBP3
Perturbation	1	UPF2
Perturbation	1	UPF3B
Perturbation	1	USP1
Perturbation	1	USP28
Perturbation	1	USP6NL
Perturbation	1	USP7
Perturbation	1	UTS2
Perturbation	1	UTS2B
Perturbation	1	VAC14
Perturbation	1	VAV3
Perturbation	1	VCPIP1
Perturbation	1	VDAC2
Perturbation	1	VEGFB
Perturbation	1	VEGFC
Perturbation	1	VEGFD
Perturbation	1	VHL
Perturbation	1	VIP
Perturbation	1	VMP1
Perturbation	1	VRK2
Perturbation	1	VRK3
Perturbation	1	WIF1
Perturbation	1	WNK3
Perturbation	1	WNT10B
Perturbation	1	WNT2
Perturbation	1	WNT3
Perturbation	1	WNT5A
Perturbation	1	WNT8A
Perturbation	1	WNT9B
Perturbation	1	XAF1
Perturbation	1	XCL1
Perturbation	1	XCL2
Perturbation	1	XRCC5
Perturbation	1	XRCC6
Perturbation	1	ZFPM2
Perturbation	1	ZNF76
Perturbation	1	ZYX
Perturbation	-1	A2M
Perturbation	-1	ABRAXAS1
Perturbation	-1	ACD
Perturbation	-1	ACVR1C
Perturbation	-1	ADAM10
Perturbation	-1	ADAM9
Perturbation	-1	ADAMTS4
Perturbation	-1	ADIPOQ
Perturbation	-1	ADM
Perturbation	-1	ADM2
Perturbation	-1	ADORA1
Perturbation	-1	ADRA2A
Perturbation	-1	ADRM1
Perturbation	-1	AGRN
Perturbation	-1	AGRP
Perturbation	-1	AHSP
Perturbation	-1	AIP
Perturbation	-1	AKAP5
Perturbation	-1	AMH
Perturbation	-1	ANGPT1
Perturbation	-1	ANGPT2
Perturbation	-1	ANGPT4
Perturbation	-1	ANGPTL1
Perturbation	-1	ANP32A
Perturbation	-1	AP2M1
Perturbation	-1	AP2S1
Perturbation	-1	APBA1
Perturbation	-1	APC_AXIN1_GSK3B
Perturbation	-1	APC2
Perturbation	-1	APELA
Perturbation	-1	APLF
Perturbation	-1	APLN
Perturbation	-1	APOE
Perturbation	-1	AREG
Perturbation	-1	ARFGAP1
Perturbation	-1	ARHGAP1
Perturbation	-1	ARHGAP26
Perturbation	-1	ARHGEF28
Perturbation	-1	ARHGEF3
Perturbation	-1	ARTN
Perturbation	-1	ARVCF
Perturbation	-1	ASAP2
Perturbation	-1	ASF1B
Perturbation	-1	ASIP
Perturbation	-1	ATG101
Perturbation	-1	ATG14
Perturbation	-1	ATG4B
Perturbation	-1	AVP
Perturbation	-1	B2M
Perturbation	-1	BACE2
Perturbation	-1	BAG1
Perturbation	-1	BAG4
Perturbation	-1	BAG6
Perturbation	-1	BAZ1B
Perturbation	-1	BBS4
Perturbation	-1	BCCIP
Perturbation	-1	BCKDK
Perturbation	-1	BCL3
Perturbation	-1	BCOR
Perturbation	-1	BDNF
Perturbation	-1	BLK
Perturbation	-1	BMI1
Perturbation	-1	BMP10
Perturbation	-1	BMP15
Perturbation	-1	BMP6
Perturbation	-1	BMP7
Perturbation	-1	BNIP2
Perturbation	-1	BRIP1
Perturbation	-1	BRSK1
Perturbation	-1	BTC
Perturbation	-1	BTG2
Perturbation	-1	BTRC
Perturbation	-1	C5
Perturbation	-1	C8A
Perturbation	-1	CALCA
Perturbation	-1	CALCB
Perturbation	-1	CAMK1G
Perturbation	-1	CAMP
Perturbation	-1	CAND1
Perturbation	-1	CAPNS1
Perturbation	-1	CARD17
Perturbation	-1	CARD18
Perturbation	-1	CAST
Perturbation	-1	CBFB
Perturbation	-1	CBLL1
Perturbation	-1	CBX3
Perturbation	-1	CBY1
Perturbation	-1	CCK
Perturbation	-1	CCL1
Perturbation	-1	CCL11
Perturbation	-1	CCL13
Perturbation	-1	CCL14
Perturbation	-1	CCL15
Perturbation	-1	CCL16
Perturbation	-1	CCL17
Perturbation	-1	CCL18
Perturbation	-1	CCL19
Perturbation	-1	CCL2
Perturbation	-1	CCL20
Perturbation	-1	CCL21
Perturbation	-1	CCL22
Perturbation	-1	CCL23
Perturbation	-1	CCL24
Perturbation	-1	CCL25
Perturbation	-1	CCL26
Perturbation	-1	CCL27
Perturbation	-1	CCL28
Perturbation	-1	CCL3
Perturbation	-1	CCL3L1
Perturbation	-1	CCL4
Perturbation	-1	CCL5
Perturbation	-1	CCL7
Perturbation	-1	CCL8
Perturbation	-1	CCN3
Perturbation	-1	CCNA2_CDK2
Perturbation	-1	CCNH
Perturbation	-1	CCNY
Perturbation	-1	CCS
Perturbation	-1	CD14
Perturbation	-1	CD22
Perturbation	-1	CD40LG
Perturbation	-1	CD46
Perturbation	-1	CD48
Perturbation	-1	CD55
Perturbation	-1	CD58
Perturbation	-1	CD70
Perturbation	-1	CD86
Perturbation	-1	CDC14A
Perturbation	-1	CDC42SE1
Perturbation	-1	CDC7
Perturbation	-1	CDC73
Perturbation	-1	CDK10
Perturbation	-1	CDK11B
Perturbation	-1	CDK12
Perturbation	-1	CDK19
Perturbation	-1	CDK20
Perturbation	-1	CDK8
Perturbation	-1	CDKN2C
Perturbation	-1	CDKN2D
Perturbation	-1	CDKN3
Perturbation	-1	CENPE
Perturbation	-1	CFB
Perturbation	-1	CFHR1
Perturbation	-1	CFI
Perturbation	-1	CGA
Perturbation	-1	CGB8
Perturbation	-1	CHAMP1
Perturbation	-1	CHD8
Perturbation	-1	CHMP1A
Perturbation	-1	CHN2
Perturbation	-1	CHRM1
Perturbation	-1	CHRM2
Perturbation	-1	CHRM3
Perturbation	-1	CHRM4
Perturbation	-1	CHRM5
Perturbation	-1	CKS1B
Perturbation	-1	CLCF1
Perturbation	-1	CLK1
Perturbation	-1	CLK2
Perturbation	-1	CLU
Perturbation	-1	CNKSR1
Perturbation	-1	CNR1
Perturbation	-1	CNTF
Perturbation	-1	COL18A1
Perturbation	-1	COL1A1
Perturbation	-1	COL1A2
Perturbation	-1	COL2A1
Perturbation	-1	COL4A1
Perturbation	-1	COL4A2
Perturbation	-1	COL4A3
Perturbation	-1	COL4A4
Perturbation	-1	COL4A6
Perturbation	-1	COPS5
Perturbation	-1	CORT
Perturbation	-1	CPLX1
Perturbation	-1	CREBZF
Perturbation	-1	CREM
Perturbation	-1	CRH
Perturbation	-1	CRYAA
Perturbation	-1	CRYAB
Perturbation	-1	CSF1
Perturbation	-1	CSF2
Perturbation	-1	CSF3
Perturbation	-1	CSNK1A1L
Perturbation	-1	CSNK1D
Perturbation	-1	CSNK1G1
Perturbation	-1	CSNK1G2
Perturbation	-1	CSNK1G3
Perturbation	-1	CSNK2A2
Perturbation	-1	CTDSP1
Perturbation	-1	CTDSP2
Perturbation	-1	CTF1
Perturbation	-1	CTNNA3
Perturbation	-1	CTNNBIP1
Perturbation	-1	CTNND2
Perturbation	-1	CX3CL1
Perturbation	-1	CXCL1
Perturbation	-1	CXCL10
Perturbation	-1	CXCL12
Perturbation	-1	CXCL13
Perturbation	-1	CXCL16
Perturbation	-1	CXCL3
Perturbation	-1	CXCL5
Perturbation	-1	CXCL6
Perturbation	-1	CXCL8
Perturbation	-1	CXCL9
Perturbation	-1	CYFIP2
Perturbation	-1	DACT1
Perturbation	-1	DBF4
Perturbation	-1	DCLRE1B
Perturbation	-1	DCN
Perturbation	-1	DEF6
Perturbation	-1	DEFB4B
Perturbation	-1	DHPS
Perturbation	-1	DHX58
Perturbation	-1	DISC1
Perturbation	-1	DKK1
Perturbation	-1	DLG1
Perturbation	-1	DLK1
Perturbation	-1	DLL3
Perturbation	-1	DLL4
Perturbation	-1	DMPK
Perturbation	-1	DNAJB1
Perturbation	-1	DNAJC7
Perturbation	-1	DNMT3L
Perturbation	-1	DOCK9
Perturbation	-1	DOK7
Perturbation	-1	DRD1
Perturbation	-1	DRD2
Perturbation	-1	DTL
Perturbation	-1	DUSP10
Perturbation	-1	DUSP2
Perturbation	-1	DUSP22
Perturbation	-1	DUSP26
Perturbation	-1	DUSP3
Perturbation	-1	DUSP4
Perturbation	-1	DUSP5
Perturbation	-1	DUSP8
Perturbation	-1	DYNLL2
Perturbation	-1	DYRK1A
Perturbation	-1	DYRK1B
Perturbation	-1	DYRK2
Perturbation	-1	E2F6
Perturbation	-1	E4F1
Perturbation	-1	ECE1
Perturbation	-1	EDA
Perturbation	-1	EDN2
Perturbation	-1	EDN3
Perturbation	-1	EEF1B2
Perturbation	-1	EFNA1
Perturbation	-1	EFNA2
Perturbation	-1	EFNA3
Perturbation	-1	EFNA4
Perturbation	-1	EFNA5
Perturbation	-1	EFNB1
Perturbation	-1	EFNB3
Perturbation	-1	EGLN2
Perturbation	-1	EHMT1
Perturbation	-1	EIF2AK1
Perturbation	-1	EIF2AK4
Perturbation	-1	EIF4EBP2
Perturbation	-1	EIF4EBP3
Perturbation	-1	EMSY
Perturbation	-1	EPGN
Perturbation	-1	ERC1
Perturbation	-1	ERCC8
Perturbation	-1	EREG
Perturbation	-1	ETFB
Perturbation	-1	EYA3
Perturbation	-1	F9
Perturbation	-1	FAAP24
Perturbation	-1	FBXW11
Perturbation	-1	FCER1G
Perturbation	-1	FCGR3A
Perturbation	-1	FER
Perturbation	-1	FERMT2
Perturbation	-1	FES
Perturbation	-1	FGD1
Perturbation	-1	FGF1
Perturbation	-1	FGF10
Perturbation	-1	FGF14
Perturbation	-1	FGF17
Perturbation	-1	FGF18
Perturbation	-1	FGF19
Perturbation	-1	FGF20
Perturbation	-1	FGF21
Perturbation	-1	FGF22
Perturbation	-1	FGF23
Perturbation	-1	FGF3
Perturbation	-1	FGF4
Perturbation	-1	FGF5
Perturbation	-1	FGF6
Perturbation	-1	FGF7
Perturbation	-1	FGF8
Perturbation	-1	FGF9
Perturbation	-1	FHL1
Perturbation	-1	FLT3LG
Perturbation	-1	FOXA1
Perturbation	-1	FOXH1
Perturbation	-1	FRK
Perturbation	-1	FSHB
Perturbation	-1	FST
Perturbation	-1	FYCO1
Perturbation	-1	GADD45B
Perturbation	-1	GAL
Perturbation	-1	GALP
Perturbation	-1	GAS1
Perturbation	-1	GAS6
Perturbation	-1	GAST
Perturbation	-1	GATA2
Perturbation	-1	GCG
Perturbation	-1	GCKR
Perturbation	-1	GDF11
Perturbation	-1	GDF15
Perturbation	-1	GDF2
Perturbation	-1	GDF5
Perturbation	-1	GDF6
Perturbation	-1	GDF9
Perturbation	-1	GDNF
Perturbation	-1	GH1
Perturbation	-1	GH2
Perturbation	-1	GHRH
Perturbation	-1	GHRL
Perturbation	-1	GIP
Perturbation	-1	GNGT1
Perturbation	-1	GNRH1
Perturbation	-1	GNRH2
Perturbation	-1	GOPC
Perturbation	-1	GPI
Perturbation	-1	GPSM3
Perturbation	-1	GRK1
Perturbation	-1	GRK3
Perturbation	-1	GRK5
Perturbation	-1	GRK6
Perturbation	-1	GRP
Perturbation	-1	GSTP1
Perturbation	-1	GTF2A2
Perturbation	-1	GTF2F2
Perturbation	-1	GTF2H3
Perturbation	-1	GUCA2A
Perturbation	-1	GZMA
Perturbation	-1	HACE1
Perturbation	-1	HAT1
Perturbation	-1	HBEGF
Perturbation	-1	HCFC1
Perturbation	-1	HCRT
Perturbation	-1	HHAT
Perturbation	-1	HIF1AN
Perturbation	-1	HIPK1
Perturbation	-1	HIPK3
Perturbation	-1	HJURP
