	GSM2358163	GSM2358164	GSM2358165	GSM2358166	GSM2358167	GSM2358168	GSM2358169	GSM2358170	GSM2358171	GSM2358172	GSM2358173	GSM2358174	GSM2358175	GSM2358176	GSM2358177	GSM2358178	GSM2358179
DDAH1	2349	2284	1908	2474	2454	3488	1967	1662	1541	2467	2677	2541	1949	1661	1427	2621	2220
SREK1	892	914	648	847	867	1071	987	889	1474	1212	1773	1437	821	762	621	966	849
CHD1	578	519	434	491	453	608	581	506	536	482	597	465	615	510	496	505	471
CLCA3P	0	1	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0
ANKFN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DGKE	144	146	103	86	94	105	231	217	209	194	271	212	272	222	196	141	101
HS2ST1	728	558	511	679	572	798	540	516	504	877	960	985	540	455	467	964	783
MSI2	448	348	316	379	383	545	387	386	300	348	393	369	422	368	326	497	452
CACNA2D1	2	1	2	1	5	8	14	9	24	15	33	18	4	1	4	12	12
ZUP1	237	247	161	218	227	222	215	190	195	182	276	243	325	282	248	274	211
HS3ST3A1	7	9	13	9	6	8	5	14	10	4	3	4	33	32	22	2	6
GDPD1	43	39	28	38	29	32	27	22	22	26	45	39	64	50	48	31	38
NUS1	1828	1698	1433	1321	1251	1780	1748	1481	1466	1476	1855	1649	2440	1769	2004	2166	1626
SEMA3D	0	2	0	0	1	0	0	1	6	4	2	3	0	1	1	0	0
PPP2R5E	723	711	595	723	796	859	749	726	667	773	965	1023	853	776	786	1089	919
ASB17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRAP	0	8	10	20	12	15	0	3	4	30	17	38	7	2	9	26	34
SLC5A10	26	26	35	64	52	54	2	3	3	37	42	45	8	7	2	23	26
AK5	0	1	0	0	1	0	2	4	2	2	0	2	5	2	2	3	5
CABYR	11	16	21	10	12	27	16	24	16	17	19	29	35	36	60	70	90
IMPACT	633	548	479	369	307	419	530	417	404	366	444	453	518	387	528	503	408
ANKRD29	31	16	27	59	30	53	6	5	8	36	29	33	8	11	12	61	63
SDHAF4	70	68	64	71	45	114	70	46	65	64	65	80	70	48	77	111	76
CHST9	273	202	249	789	814	1083	24	25	27	291	256	319	160	151	115	517	798
THY1	3	6	5	9	13	19	35	22	29	54	53	71	2	2	8	14	21
DNAAF1	7	12	12	19	9	48	6	8	9	41	25	64	13	13	5	35	48
C16orf74	1	2	5	9	9	9	3	4	2	21	22	23	0	1	2	15	5
TBCEL	641	570	546	626	614	733	739	579	720	651	744	679	550	512	498	758	647
JPH3	0	0	0	0	0	0	0	1	0	1	0	0	2	0	2	0	0
ANKH	1892	1633	1478	1776	1754	2429	1588	1474	1187	1764	1786	1808	1264	1100	1070	1905	1693
OTULIN	1058	948	824	1075	976	1423	1113	966	812	1076	1215	1081	1040	766	721	1269	1115
UBASH3B	81	76	51	89	81	119	31	53	40	120	120	118	99	140	101	117	144
ROBO4	1	2	1	4	2	3	1	2	5	11	7	7	0	1	3	1	2
ROBO3	48	40	24	34	33	34	46	61	32	72	69	58	34	42	49	50	34
PANX3	0	0	0	0	0	0	0	4	1	0	2	0	1	1	0	0	0
TBRG1	762	598	566	596	593	748	729	728	800	810	960	853	646	523	570	704	565
NRGN	0	0	0	0	0	0	0	1	1	0	0	2	0	0	1	0	0
RETREG1	1531	1293	1081	1132	962	1556	799	498	1064	1827	2073	2285	684	470	859	1917	1488
CDH12	6	6	4	6	4	2	0	0	1	0	1	1	0	0	0	0	0
GPR15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOMM70	2601	2344	2044	2166	2024	2701	2169	1851	1892	1921	2266	2164	3013	2331	2508	2614	2202
ABI3BP	18	16	15	20	28	15	48	37	41	22	39	34	10	12	13	30	27
ANGPT1	3	1	2	1	3	8	8	3	1	9	11	7	3	3	1	3	2
CYP4Z2P	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
PITPNC1	149	151	109	167	162	276	140	138	93	180	209	215	149	154	133	261	222
CC2D1B	532	473	447	573	576	656	465	457	387	556	545	663	422	379	325	554	493
CERS3	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0
PRKCA	918	919	712	1065	1062	1463	946	847	701	1068	1147	1176	688	629	547	1064	1006
LRRK1	81	70	28	32	41	70	73	76	78	84	92	102	74	65	49	49	65
CEP112	75	63	44	67	52	56	98	102	46	59	69	46	74	64	51	91	73
GAL3ST2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ABCA9	773	656	408	652	660	681	920	837	1323	881	1314	815	438	586	239	770	768
ABCA6	1940	1601	1343	2725	2492	3604	1514	1163	1362	2871	3331	3347	955	818	712	3228	2980
ABCA10	142	139	87	86	114	87	155	149	245	178	293	177	91	110	88	134	125
ABCA5	5934	5329	4722	2414	2382	3068	4166	4079	6489	3459	4592	3997	2272	1889	1997	2370	1727
ENPP3	13	18	7	45	42	34	29	19	11	58	70	55	25	18	15	115	115
C4orf19	720	706	598	715	673	952	614	641	300	713	728	755	1079	923	703	936	798
UCHL1	70	57	45	41	40	102	32	47	39	52	62	81	266	215	278	195	258
MIA3	2597	2280	1848	2723	2566	3542	2132	1715	1705	2644	2974	3082	2449	2113	1697	2834	2260
DISP1	224	193	144	240	226	271	151	154	146	222	231	267	219	193	196	260	230
TNIK	370	333	267	306	307	403	587	465	503	415	511	436	443	417	421	416	433
TDH	0	0	1	2	0	0	0	2	2	0	0	0	2	2	1	0	1
FAM167A	5	0	2	0	2	8	9	5	3	8	4	12	2	0	1	2	2
NEIL2	391	353	294	254	242	302	291	226	262	214	232	222	475	347	349	322	211
PGM5	2	1	1	3	5	7	5	2	5	9	11	6	0	4	3	5	4
WNT3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OBSCN	15	5	5	13	15	6	21	15	12	45	25	20	9	17	6	10	15
LONRF1	129	83	73	38	45	57	144	89	32	40	77	84	120	116	116	113	49
TRIM11	206	179	140	178	150	223	138	159	193	274	232	236	264	173	206	202	142
ENAH	878	815	687	1221	1167	1421	544	543	368	979	1046	1142	829	803	677	1866	1509
PPP1R3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCSAP	71	57	61	77	79	80	59	64	61	63	87	69	107	79	72	62	81
ASZ1	3	0	0	1	0	2	2	1	0	2	0	2	1	0	1	2	1
SH3RF1	145	129	111	184	182	260	136	96	125	224	249	266	129	116	148	238	164
GBP5	6	4	1	2	2	5	4	6	10	14	20	21	8	2	2	18	5
BUB3	1058	882	786	900	814	1172	852	714	796	973	1133	1064	1022	872	898	1190	1088
GPR26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFAP210	2	0	3	0	3	3	2	0	1	2	2	1	3	0	4	0	1
MMP21	9	4	10	3	2	3	17	6	14	9	12	10	6	12	0	1	3
C10orf90	3	1	1	4	1	7	0	2	0	2	3	1	3	0	0	4	15
DIPK1A	1249	1192	983	1171	1068	1453	867	686	768	1088	1368	1185	1010	764	877	1445	1159
ATP5MC3	3112	2577	2454	2642	2545	3297	2623	2213	2263	2852	2985	3556	3750	2725	3213	3989	3464
CNTNAP3B	161	185	130	129	188	208	35	47	41	61	99	73	128	133	111	165	154
MAGED4	0	0	1	1	4	0	4	5	0	5	3	7	0	0	0	6	10
SRSF12	19	20	12	24	14	18	16	11	8	16	23	22	12	21	26	25	24
PDLIM3	32	38	37	25	35	37	11	19	9	20	28	23	14	20	16	43	86
SORBS2	2840	2434	2406	2638	2375	3092	2368	1638	2360	2303	2720	2874	2024	1579	1760	3672	2597
ELOC	965	839	783	652	600	830	864	786	844	1004	1077	1287	921	671	842	1160	927
LY96	11	13	8	15	9	21	9	3	4	7	8	14	9	5	4	7	13
CEP170P1	2	6	0	2	2	7	2	0	2	2	5	0	2	0	2	0	6
PSMA8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TMSB4Y	0	0	0	0	0	0	5	2	5	11	8	15	0	0	0	0	0
CXADR	860	789	652	885	979	1238	658	586	639	1137	1263	1219	786	607	622	1084	1143
BTG3	178	130	131	222	196	280	131	136	148	203	264	260	217	180	207	246	269
C21orf91	156	144	138	146	133	174	178	143	118	143	155	145	141	124	128	147	123
CHODL	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0
TMPRSS15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCAM2	3	1	1	2	0	0	3	0	1	1	2	0	0	0	0	1	0
L3MBTL4	271	263	234	335	348	502	263	222	237	469	468	505	212	169	192	420	401
PDE1C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	5
RABGEF1	417	356	327	349	416	487	448	371	371	413	586	523	539	439	399	653	591
MRPL39	391	349	344	423	369	463	382	277	302	351	386	395	503	383	387	537	460
JAM2	18	18	5	9	7	5	13	14	31	9	26	12	22	11	10	7	8
ATP5PF	3009	2489	2369	2324	2051	2711	2430	2136	2439	2284	2524	2719	3196	2337	2825	3619	2858
GABPA	713	665	600	716	656	777	773	601	570	580	808	707	734	657	587	834	791
ADAMTS1	43	35	21	39	40	38	57	103	61	143	130	183	131	154	65	98	79
ADAMTS5	2	0	1	0	1	2	0	2	0	12	5	5	0	0	0	3	2
TSEN2	176	171	104	116	108	110	155	156	155	162	199	190	182	154	140	141	105
SLFN13	4	8	2	1	5	19	2	5	6	3	4	7	0	0	0	1	2
WNT7A	0	0	0	0	0	0	0	0	2	2	0	0	5	0	2	0	0
XPC	896	773	664	825	768	997	774	649	609	711	735	671	920	703	665	692	658
CCDC174	232	162	157	240	202	196	184	173	204	215	270	254	225	188	190	236	209
FGD5	10	5	6	7	16	30	13	15	16	24	17	25	29	16	10	61	107
FLCN	546	460	367	649	566	727	476	539	552	755	698	865	431	381	350	619	478
DPH3	1026	921	841	947	839	1177	843	788	533	710	890	855	888	734	717	1320	1093
OXNAD1	495	460	435	377	345	406	376	345	321	361	407	394	494	347	406	493	450
PLCL2	197	185	163	229	219	352	212	173	147	215	217	238	163	140	127	277	249
CXXC1	332	260	252	299	285	404	250	243	215	296	236	301	261	188	218	247	218
SKA1	3	5	2	0	5	0	1	4	9	5	4	10	1	3	0	6	0
PPP4R1	846	812	750	997	978	1374	805	848	740	1494	1656	1640	838	684	633	1356	1134
APCDD1	1	4	0	3	2	8	0	0	0	5	2	4	7	0	1	5	7
PIEZO2	346	309	304	348	314	555	245	212	234	309	350	312	443	360	392	485	451
CCDC144B	24	23	9	21	17	10	4	17	10	12	16	22	27	28	23	11	32
MPPE1	632	500	426	626	626	767	520	467	446	811	872	965	621	538	516	968	824
CCDC144CP	1	4	0	1	4	9	3	5	7	0	5	4	2	0	0	6	1
USP43	747	585	502	391	369	349	85	69	100	48	47	61	522	451	408	319	238
RAB6B	42	46	35	24	36	57	27	30	20	23	39	31	119	72	67	49	42
EME1	3	0	2	0	0	1	4	3	2	2	2	5	10	6	11	0	4
EPHB1	2	1	1	1	2	2	9	3	0	1	0	2	9	3	5	3	1
ACSS1	1108	896	680	626	560	666	2385	2503	1149	591	886	525	1382	1274	837	2162	1332
ANKRD40	597	441	413	528	410	571	569	451	400	628	554	721	520	405	391	588	505
ZNF18	160	163	141	137	136	177	148	147	159	138	159	183	182	149	150	173	150
CA10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VOPP1	754	629	589	633	715	883	781	736	510	677	720	728	1069	884	675	985	940
SEPTIN14	59	54	43	34	24	55	52	63	69	46	57	31	32	28	15	35	15
APOOL	532	539	465	656	578	840	630	608	556	701	778	749	604	507	587	1011	867
DKK2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CYP2U1	588	566	547	553	450	581	523	481	442	586	750	548	440	373	328	743	542
RSPH10B	1	0	0	5	1	4	1	6	2	1	2	1	4	6	7	3	2
FBXL18	259	199	193	282	263	399	184	145	64	210	165	261	269	158	170	236	213
CNTNAP5	2	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0
PROM2	6	2	0	3	2	6	6	2	7	6	11	6	3	4	1	3	7
UNC93B2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
AK9	55	63	50	50	52	62	71	48	94	49	76	61	56	49	42	59	47
ODF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLF10	642	619	549	1054	892	1440	457	490	522	1282	1410	1399	538	412	542	1491	1195
PTPRN2	3	0	1	1	4	0	23	12	5	16	23	20	16	10	8	27	22
AZIN1	2411	2244	2007	2532	2278	3445	2299	2143	1646	2318	2657	2884	2656	2106	2167	3197	2799
ATP6V1C1	1163	1045	895	1309	1103	1730	1032	924	810	1119	1337	1395	1201	988	923	1555	1385
PIP4P2	33	26	17	40	53	69	51	55	41	154	122	130	41	45	58	103	83
OTUD6B	227	206	207	155	128	156	183	190	152	128	181	136	215	174	150	171	122
CDK19	205	176	162	193	184	302	230	189	190	238	259	243	230	211	188	316	245
GTF3C6	447	510	446	441	434	554	407	385	407	387	462	538	469	347	411	600	618
TTC39B	246	251	204	251	272	401	205	207	233	364	467	466	250	243	224	364	376
AGPAT5	223	213	177	145	133	161	176	169	181	160	169	166	282	214	248	190	159
MMS19	592	508	489	531	524	706	506	460	409	568	565	581	591	494	506	588	538
OR4K1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PI4K2A	851	727	633	740	691	1098	694	712	530	704	704	853	1308	1042	1024	1118	1062
MARVELD1	34	36	16	35	37	50	214	202	77	372	324	291	197	180	113	74	80
ZFYVE27	607	488	449	456	441	509	412	416	353	500	575	577	468	411	371	480	456
GOLGA7B	4	2	0	1	4	7	5	2	1	2	2	1	3	3	1	6	5
GPR78	2	1	0	4	0	0	0	1	0	0	4	1	0	5	4	3	4
TRMT44	171	145	122	152	149	205	132	89	92	136	114	168	178	142	154	209	150
SLC25A28	479	362	342	351	287	430	325	301	394	434	515	491	475	378	424	493	371
HSPA13	905	742	653	404	397	509	567	467	464	336	442	425	1492	1107	1233	471	391
SAMSN1	3	0	0	2	1	6	2	1	3	0	0	0	0	0	0	0	1
USP25	1093	981	865	784	708	955	1016	880	751	859	1001	890	1135	848	1102	1046	782
GRAMD2B	498	417	326	413	426	497	504	404	428	381	541	380	425	342	317	582	509
ZCCHC10	199	165	155	161	162	206	180	159	159	148	205	169	151	142	132	181	144
C16orf87	437	398	321	249	276	301	387	376	326	258	316	311	520	362	459	426	324
MOV10	895	746	644	1142	1185	1481	863	834	758	1420	1395	1540	536	437	575	1287	1120
RHOC	1839	1488	1490	2481	2566	3619	920	1043	891	2416	2048	2915	995	795	1088	2779	3328
PPM1J	1	6	1	11	7	9	3	5	3	8	6	8	7	5	3	4	7
DBI	3547	3005	2741	3549	3736	4016	3708	3791	4050	5003	5754	5866	2084	1820	2006	5584	5191
SLC16A1	2442	1882	1753	1701	2280	2349	1379	1101	1543	1692	2318	2175	1726	1211	1516	2364	1753
HEATR3	480	404	371	415	397	437	398	375	377	405	400	367	431	325	335	438	346
TRIM74	7	2	2	0	3	2	0	0	4	16	0	2	0	8	8	15	4
NIFK	827	691	717	470	403	559	538	498	520	379	495	423	798	646	850	575	445
OXA1L	1998	1674	1624	1733	1567	2326	1604	1581	1635	2063	2033	2557	1806	1434	1556	2100	1783
SLC7A7	21	13	8	11	11	7	15	13	14	15	13	10	22	16	14	19	24
MAGEC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LARP1	2534	2286	1891	2319	2004	3095	2271	1846	1730	2130	2125	2252	2593	2244	2207	2418	2058
CNOT8	560	532	489	449	428	564	543	626	484	442	573	467	586	430	403	510	448
GRIA1	1	1	0	0	4	3	0	2	0	2	4	5	1	0	3	5	2
LRGUK	3	3	4	1	5	0	2	4	6	6	7	7	3	8	1	2	5
SETD9	142	104	95	114	90	181	140	110	111	119	123	116	167	124	126	214	137
MIER3	455	487	394	495	440	589	485	435	448	454	553	541	612	529	485	512	471
NUP205	729	641	600	684	696	925	571	477	378	638	651	722	787	602	630	797	687
ZKSCAN2	147	142	97	154	110	135	110	80	80	136	157	197	117	82	107	178	137
C9orf85	132	125	93	95	97	113	104	107	91	103	133	127	104	68	77	137	104
XAGE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3AP1	2497	1987	1801	5930	6913	7794	2945	3069	1652	8285	9014	9804	3077	3110	1979	10711	8549
RBM45	183	176	121	134	135	193	184	158	149	151	182	163	177	135	142	225	192
TTN	110	90	62	77	81	91	133	124	181	166	209	223	201	190	137	123	110
VSIG4	16	2	1	3	3	1	3	0	0	2	4	7	2	4	2	4	26
PDIA4	8210	7328	6035	7793	7172	10575	5190	4980	4067	6199	6363	6202	13718	9595	9934	9057	8702
KDM8	108	63	84	210	186	241	49	54	72	114	132	125	57	51	42	316	291
PDZD9	0	0	0	1	0	5	1	5	2	2	0	0	1	1	0	3	0
OTOA	0	1	1	0	0	0	1	1	4	0	0	1	0	1	0	0	2
KCTD18	242	219	154	232	212	236	199	206	187	244	227	254	227	168	176	250	263
FAM126B	408	334	270	314	242	351	349	313	359	254	355	321	429	354	271	351	329
FLACC1	9	9	10	6	5	0	21	13	15	4	6	3	12	12	3	6	2
C2CD6	10	3	1	3	1	4	0	1	8	5	5	0	5	1	1	2	2
TMEM237	86	86	59	95	117	104	63	61	68	116	109	151	98	81	87	171	137
FZD7	13	14	11	16	24	14	9	9	5	14	20	29	17	11	22	19	13
SPAG17	4	2	3	2	0	0	2	2	2	1	1	1	2	0	2	0	0
DEPTOR	267	240	174	278	255	316	142	125	104	171	196	195	238	177	167	340	299
FMN2	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1
RNF20	773	650	602	585	579	613	566	444	417	460	552	465	759	560	603	657	529
CYLC2	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0
PPARGC1B	193	170	124	161	114	216	184	132	270	215	276	258	83	75	93	157	118
ELMO1	277	259	222	457	440	612	256	226	208	627	552	567	167	177	158	470	386
SLC26A2	164	184	135	120	122	119	157	140	136	88	102	117	266	257	185	119	137
LSM11	81	96	64	77	82	115	94	67	89	119	161	141	93	78	69	93	84
MED7	172	138	116	141	128	154	131	135	135	121	161	188	126	106	125	162	170
SAXO1	0	1	1	2	2	10	1	0	0	1	4	9	0	1	0	1	2
RRAGA	1215	1134	1112	1041	987	1336	1060	911	832	1020	1143	1114	1122	880	955	1364	1138
SLC24A2	1	0	0	1	0	3	0	0	2	1	7	2	1	0	1	0	1
TRIM42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PXYLP1	59	48	57	93	95	121	76	78	76	98	116	98	59	56	32	133	122
ADCY8	1	3	1	3	9	20	0	1	1	4	9	3	0	1	0	3	4
RASA2	180	160	124	162	145	200	188	135	195	215	275	241	156	160	135	182	179
RMND1	520	451	406	448	379	451	434	424	406	348	457	356	434	341	344	610	539
RAET1L	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	2	1
SLA	1	2	0	1	1	0	0	0	4	1	0	1	5	6	2	1	8
TMBIM4	1236	977	955	1104	1207	1456	1025	923	1004	1525	1804	1745	1031	760	856	1862	1599
VBP1	577	538	446	460	358	490	550	487	424	417	487	462	639	477	520	592	501
RAB39B	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
CLIC2	12	7	4	24	23	20	4	7	7	15	12	14	7	6	5	23	15
AFF2	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0
MICU3	240	181	160	236	251	306	174	138	316	317	460	396	119	110	97	332	287
GRIP1	1	1	3	2	5	2	5	4	0	3	5	6	5	6	4	4	7
VPS37A	1036	964	803	944	832	1145	898	704	813	970	1145	1220	971	796	828	1253	816
KIF5A	9	9	1	10	3	11	3	6	2	6	4	9	7	4	1	15	6
NAT2	971	775	665	833	757	908	598	519	651	544	665	697	436	345	474	976	758
MAGEA8	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0
PSD3	1198	1001	876	1054	882	1298	1128	945	705	861	1011	1135	1246	967	894	1109	1003
CARNMT1	503	493	406	402	352	628	505	478	408	463	527	412	496	454	451	630	475
MCU	273	253	228	285	262	368	277	280	202	282	293	316	306	256	249	476	484
MIDEAS	363	302	217	244	246	304	309	359	347	393	322	358	242	232	239	227	170
CFAP70	94	125	64	61	70	82	151	150	210	125	185	134	125	140	100	72	81
GNA14	27	29	44	27	25	24	10	7	10	13	9	22	39	28	35	16	30
FAM161B	73	94	76	105	107	103	108	86	99	92	93	96	81	56	66	89	83
GNAQ	642	643	548	645	594	838	738	631	569	752	908	893	628	515	552	929	752
WIF1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
UGT2B4	49107	45118	38690	27693	25719	39458	42086	34636	35000	21830	26451	29537	65356	52886	43974	50834	49426
GPR61	2	7	1	2	1	0	0	0	0	0	0	2	1	4	2	3	1
MMP16	0	2	0	0	0	1	0	0	2	2	2	3	0	0	0	3	0
ADK	1273	1241	1138	1229	966	1490	1064	938	992	1199	1366	1400	866	681	827	1861	1432
KCNMA1	383	272	276	249	172	270	209	155	165	202	186	232	333	251	324	454	358
BATF	1	1	2	5	10	10	3	2	2	3	6	6	8	6	7	8	11
DCK	98	90	78	126	78	155	94	78	68	111	107	122	91	65	100	146	135
ADAMTS3	44	26	13	15	12	6	4	6	4	1	4	6	26	25	11	4	2
ALX3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPY19L4	606	538	488	565	531	717	631	526	507	606	757	670	572	528	456	703	559
NDUFAF6	685	551	468	497	456	535	643	557	797	782	908	1028	457	361	450	1142	781
DRAM2	688	583	582	850	825	1188	569	503	567	865	1102	1159	713	631	554	1340	1217
CFAP418	52	48	59	37	50	85	51	41	45	55	57	58	43	26	47	64	46
PPEF2	3	3	1	0	4	6	10	4	8	5	12	7	3	0	3	3	3
CFAP161	2	0	0	0	0	0	0	2	1	0	0	0	2	6	0	0	0
ADAMTSL3	544	478	398	457	521	596	660	662	551	643	721	730	304	275	236	671	586
ART3	5	0	1	1	0	5	2	6	3	5	3	0	1	2	1	1	0
SLC28A1	2461	1797	1689	2475	2265	3030	1421	1375	1724	2898	3269	3509	793	656	678	2893	2330
WHAMM	320	257	238	342	319	431	185	168	155	282	281	269	285	282	237	327	297
CXCL13	0	1	2	54	34	51	0	2	1	19	23	21	0	1	1	84	81
N6AMT1	201	206	189	182	164	194	159	146	182	171	194	180	102	73	97	177	134
RWDD2B	641	595	523	420	392	529	595	567	498	434	496	481	562	420	413	574	439
USP16	1002	953	743	879	776	1094	1001	807	750	936	1128	1111	1001	781	868	1277	1047
CCT8	2522	2151	1848	1957	1838	2198	1892	1608	1636	1723	1997	1806	3196	2559	2432	1985	1730
MAP3K7CL	18	15	19	17	24	23	24	28	37	36	41	41	31	20	27	65	60
NAA11	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
BACH1	863	740	632	753	724	1049	660	582	399	660	733	691	1413	1234	1116	1122	993
CLDN17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLDN8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSPAN7	115	106	87	124	103	139	80	58	74	40	32	65	99	54	100	228	195
TIAM1	69	51	35	45	52	82	28	22	24	31	45	60	59	86	83	101	98
SCAF4	471	428	384	438	403	535	551	459	475	682	643	701	460	394	418	483	399
RPGR	104	131	66	79	83	111	54	51	100	116	130	108	89	84	81	72	44
CDK20	49	22	25	43	26	65	31	25	33	42	28	33	52	45	49	59	30
PCGF6	220	173	140	250	201	315	175	152	199	251	336	294	222	211	235	347	283
ANKRD9	231	192	183	288	240	300	234	202	202	383	285	343	358	260	187	424	361
SFR1	44	32	30	40	40	47	20	23	17	26	22	29	37	15	33	38	48
SORCS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SFXN2	302	262	214	226	229	300	313	251	286	211	208	199	211	192	168	234	160
ATP5MJ	908	689	613	652	682	803	708	668	779	672	799	884	1016	770	882	999	895
FUT6	605	453	492	591	846	981	441	425	392	1125	1010	1225	285	190	290	975	877
TDRD9	5	12	2	2	10	6	10	17	16	24	31	21	3	4	4	0	1
FGF18	0	0	0	0	0	0	0	2	2	0	0	0	4	1	1	0	0
PCDH1	1367	1125	1001	1374	1467	2163	845	954	439	1020	917	1266	1487	1259	1237	1343	1421
SH3RF2	340	288	295	460	334	520	300	219	315	552	658	635	178	155	81	570	382
GDF6	3	0	1	1	2	1	7	12	10	15	22	20	3	2	2	6	4
UQCRB	2128	1973	1756	1700	1804	1941	1848	1688	1924	1600	1910	1975	2509	1871	2097	2488	2129
MTERF3	253	217	180	214	233	278	118	140	245	195	261	215	144	130	199	280	237
PTDSS1	1787	1516	1279	1500	1438	2238	1243	1201	1030	1420	1497	1624	1356	1154	1059	1634	1419
PPP2R2B	4	7	2	2	0	0	9	7	7	3	2	2	15	6	10	2	4
RPL30	4086	3509	3268	3249	2863	3525	2819	2532	2759	3022	3270	3571	3460	2628	3276	3750	3302
KCNS2	0	1	0	0	0	0	1	2	5	0	0	0	3	8	3	0	3
PABIR3	45	37	30	20	22	33	40	38	31	31	43	45	58	32	32	42	39
SUPV3L1	602	527	473	464	369	613	461	460	533	392	529	461	599	449	523	574	475
PABIR2	142	132	104	123	112	135	196	160	231	192	235	202	162	173	109	173	137
EEF1A1	48865	40693	39124	32962	31670	40872	35119	30517	32918	33575	37358	39289	53129	38430	48589	47054	40640
FBXO43	1	0	1	0	0	2	5	2	2	2	1	6	1	2	3	2	1
HKDC1	1859	1522	1365	744	907	1075	569	503	704	358	390	426	1684	1271	2048	1064	962
HK1	48	28	23	26	19	49	53	67	37	47	64	45	101	76	104	51	57
TYSND1	232	194	181	237	237	321	106	103	146	190	209	210	248	187	222	200	201
PHF6	453	378	342	371	347	526	438	343	278	364	458	392	539	462	388	411	340
CD109	168	117	113	487	322	783	29	12	10	289	246	418	79	58	110	1567	1757
LRFN2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
NODAL	0	0	1	1	0	0	3	1	0	0	0	1	3	2	4	0	0
PRG3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2L6	2007	1779	1649	1186	1072	1401	2089	2002	1233	662	754	684	2507	2059	1917	2085	1652
ZDHHC5	1795	1564	1402	1817	1600	2344	1434	1266	1008	1643	1728	1902	2028	1609	1670	1935	1669
MED19	125	113	109	61	75	83	103	106	83	74	87	89	138	106	126	101	87
ZFAND3	1810	1463	1452	1214	1200	1441	1334	1227	963	1100	1037	1200	1487	1115	1465	1646	1115
NPTN	1000	808	786	1191	1148	1585	757	674	775	1449	1623	1649	655	581	642	1396	1345
KAT6B	171	127	100	142	121	150	146	123	154	145	139	163	141	135	130	167	114
SAMD8	599	515	396	402	428	556	454	450	391	413	547	530	588	451	477	544	545
RAB11FIP1	404	391	312	593	575	931	293	272	256	601	665	831	439	314	384	894	1063
UNC5D	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	1
GLYATL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UTP14A	350	304	249	215	213	259	223	219	164	196	216	190	492	398	383	205	203
AIFM1	2604	2145	1976	2286	2183	2683	1938	1803	1888	1909	2344	2442	2959	2290	2363	3363	3371
MAPK13	187	133	124	439	475	573	205	246	157	765	844	995	145	165	102	550	631
BAG4	564	442	445	550	469	659	493	442	410	546	694	572	462	439	353	642	550
MS4A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IGKV1OR-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBC1D31	122	88	83	61	65	85	86	72	62	99	98	98	107	98	109	114	92
NTAQ1	126	118	85	97	69	88	135	136	141	100	142	131	112	87	109	118	85
